Model created!
Starting value iteration ...
Value iteration complete!
55.3305577138 70
55.0180857426 70
54.7054156659 70
54.3925598275 70
54.0795305784 70
53.7663402764 70
53.4530012857 70
53.1395259765 70
52.8259267241 70
52.512215909 70
52.1984059159 70
51.8845091335 70
51.5705379539 70
51.2565047722 70
50.9424219858 70
50.6283019942 70
50.3141571983 70
50.0 70
49.6858428017 70
49.3716980058 70
49.0575780142 70
48.7434952278 70
48.4294620461 70
48.1154908665 70
47.8015940841 70
47.487784091 70
47.1740732759 60
46.8604740235 60
46.5469987143 60
46.2336597236 60
45.9204694216 60
45.6074401725 60
45.2945843341 60
44.9819142574 60
44.6694422862 60
44.3571807563 60
44.0451419953 60
43.7333383218 60
43.4217820454 60
43.1104854658 60
42.7994608724 60
42.488720544 60
42.178276748 60
41.8681417403 60
41.5583277644 60
41.2488470512 60
40.9397118186 70
40.6309342707 60
40.3225265975 60
40.0145009743 60
39.7068695615 60
39.3996445039 50
39.0928379302 50
38.7864619525 50
38.4805286662 50
38.1750501488 50
37.8700384602 50
37.5655056418 50
37.2614637158 50
36.9579246855 50
36.654900534 50
36.3524032241 50
36.050444698 50
35.7490368765 50
35.4481916586 50
35.1479209211 50
34.8482365184 50
34.5491502813 50
34.2506740172 50
33.9528195096 50
33.6555985173 50
33.3590227739 50
33.0631039877 50
32.7678538413 50
32.4732839904 50
32.1794060643 50
31.8862316648 50
31.5937723658 50
31.3020397131 50
31.0110452239 50
30.7208003861 50
30.4313166581 50
30.1426054683 50
29.8546782143 50
29.5675462632 50
29.2812209503 50
28.9957135794 50
28.7110354217 50
28.427197716 50
28.1442116675 50
27.8620884481 50
27.5808391955 50
27.300475013 50
27.0210069689 50
26.7424460961 50
26.4648033917 50
26.1880898166 50
25.9123162949 50
25.6374937137 50
25.3636329226 50
25.090744733 50
24.8188399182 50
24.5479292125 50
24.2780233109 50
24.009132869 50
23.7412685019 50
23.4744407847 50
23.208660251 50
22.9439373937 50
22.6802826633 50
22.4177064686 50
22.1562191756 50
21.8958311074 50
21.6365525437 50
21.3783937203 50
21.1213648289 50
20.8654760166 50
20.6107373854 50
20.3571589919 50
20.1047508471 50
19.8535229155 50
19.6034851153 40
19.3546473174 30
19.1070193455 30
18.8606109756 30
18.6154319355 30
18.3714919043 30
18.1288005126 30
17.8873673412 30
17.6472019215 30
17.408313735 30
17.1707122124 30
16.9344067338 30
16.6994066283 30
16.4657211732 30
16.2333595939 30
16.0023310639 30
15.7726447036 30
15.5443095806 30
15.3173347094 30
15.0917290503 30
14.8675015101 30
14.6446609407 30
14.4232161395 30
14.2031758489 30
13.9845487556 30
13.7673434906 30
13.5515686289 30
13.3372326889 30
13.1243441321 30
12.9129113631 30
12.7029427288 30
12.4944465185 30
12.2874309632 30
12.0819042356 30
11.8778744494 30
11.6753496595 30
11.4743378612 30
11.2748469901 30
11.0768849216 30
10.8804594712 30
10.6855783932 30
10.4922493812 30
10.3004800676 30
10.1102780231 30
9.92165075646 30
9.73460571444 30
9.54915028125 30
9.36529177835 30
9.18303746414 30
9.00239453373 30
8.82337011858 30
8.64597128627 30
8.47020504021 30
8.29607831934 30
8.12359799789 30
7.95277088509 30
7.7836037249 30
7.61610319575 30
7.45027591027 30
7.28612841504 30
7.12366719032 30
6.9628986498 30
6.80382914036 30
6.64646494178 30
6.49081226652 30
6.3368772595 30
6.18466599781 30
6.03418449047 30
5.88543867825 30
5.73843443338 30
5.59317755932 30
5.44967379058 30
5.30792879244 30
5.16794816074 30
5.02973742168 30
4.89330203159 30
4.7586473767 30
4.62577877294 30
4.49470146575 30
4.36542062982 30
4.23794136895 30
4.1122687158 30
3.98840763171 30
3.86636300649 30
3.74613965828 30
3.62774233327 30
3.51117570559 30
3.39644437709 30
3.28355287717 30
3.17250566259 30
3.06330711731 30
2.95596155229 30
2.85047320536 30
2.74684624101 30
2.64508475026 30
2.54519275049 30
2.44717418524 30
2.35103292414 30
2.25677276267 30
2.16439742206 30
2.07391054913 30
1.98531571615 30
1.8986164207 30
1.8138160855 30
1.73091805834 30
1.64992561188 30
1.57084194357 30
1.49367017549 30
1.41841335427 30
1.34507445089 30
1.27365636067 30
1.20416190306 30
1.13659382159 30
1.07095478373 30
1.00724738079 30
0.945474127833 30
0.885637463566 30
0.827739750234 30
0.77178327354 30
0.71777024255 30
0.665702789607 30
0.615582970243 30
0.567412763104 30
0.521194069868 30
